4D,role,toilet_merit,general_merit,toilet_merit_new,general_merit_new,toilet_main,bunk_windows,bunk_window_bedside,bunk_high_areas,bunk_holes,bunk_sweep_half,bunk_mop,corridor_main,staircase_main,ground_main,management_main
3101,backup,0.0,0.0,0.0,0.5,0,0,1,0,0,0,0,0,0,0,0
3102,backup,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
3103,bunk_ic,0.0,0.0,0.0,4.4,0,0,0,0,1,1,0,0,0,0,0
3104,toilet_ic,0.0,0.0,1.0,0.0,1,0,0,0,0,0,0,0,0,0,0
3105,ground_floor_ic,0.0,0.0,0.0,4.0,0,0,1,0,0,0,0,0,0,1,0
3106,backup,0.0,0.0,0.0,0.5,0,0,1,0,0,0,0,0,0,0,0
3107,corridor_ic,0.0,0.0,0.0,2.5,0,0,0,0,0,0,0,1,0,0,0
3108,bunk_ic,0.0,0.0,0.0,7.0,0,1,0,0,0,1,0,0,0,0,0
3109,staircase_ic,0.0,0.0,0.0,2.5,0,0,0,0,0,0,0,0,1,0,0
3110,management,0.0,0.0,0.0,1.5,0,0,0,0,0,0,0,0,0,0,1
3112,toilet_ic,0.0,0.0,1.0,0.5,1,0,1,0,0,0,0,0,0,0,0
3113,ground_floor_ic,0.0,0.0,0.0,4.2,0,0,0,1,0,0,0,0,0,1,0
3114,backup,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
3115,toilet_ic,0.0,0.0,1.0,0.0,1,0,0,0,0,0,0,0,0,0,0
3116,bunk_ic,0.0,0.0,0.0,4.5,0,0,1,0,0,0,1,0,0,0,0
