4D,role,toilet_merit,general_merit,toilet_merit_new,general_merit_new,toilet_main,bunk_windows,bunk_window_bedside,bunk_high_areas,bunk_holes,bunk_sweep_half,bunk_mop,corridor_main,staircase_main,ground_main,management_main
3101,toilet_ic,3.0,43.4,4.0,43.9,1,0,1,0,0,0,0,0,0,0,0
3102,bunk_ic,4.0,35.9,4.0,42.9,0,1,0,0,0,1,0,0,0,0,0
3103,bunk_ic,4.0,39.7,4.0,43.7,0,0,0,0,0,0,1,0,0,0,0
3104,bunk_ic,4.0,36.4,4.0,40.8,0,0,0,0,1,1,0,0,0,0,0
3105,backup,4.0,48.0,4.0,48.5,0,0,1,0,0,0,0,0,0,0,0
3106,ground_floor_ic,4.0,44.5,4.0,48.5,0,0,1,0,0,0,0,0,0,1,0
3107,corridor_ic,4.0,42.0,4.0,44.5,0,0,0,0,0,0,0,1,0,0,0
3108,ground_floor_ic,4.0,38.4,4.0,41.9,0,0,0,0,0,0,0,0,0,1,0
3109,staircase_ic,4.0,39.0,4.0,41.5,0,0,0,0,0,0,0,0,1,0,0
3110,backup,4.0,40.9,4.0,40.9,0,0,0,0,0,0,0,0,0,0,0
3112,toilet_ic,3.0,41.1,4.0,41.6,1,0,1,0,0,0,0,0,0,0,0
3113,management,4.0,40.0,4.0,42.2,0,0,0,1,0,0,0,0,0,0,1
3114,toilet_ic,3.0,38.4,4.0,38.4,1,0,0,0,0,0,0,0,0,0,0
3115,backup,4.0,40.3,4.0,40.3,0,0,0,0,0,0,0,0,0,0,0
3116,backup,4.0,41.9,4.0,42.4,0,0,1,0,0,0,0,0,0,0,0
